channel,rate,accuracy,false_positives,false_negatives,true_positives,true_negatives,avg_time_sec,total_images
R,0,1.0,0,0,0,100,0.01575079202651973,100
R,15,0.0,0,100,0,0,0.01429085731506343,100
R,25,0.0,0,100,0,0,0.01489473342895503,100
R,35,0.0,0,100,0,0,0.01874963521957393,100
R,45,0.0,0,100,0,0,0.014382812976837113,100
R,55,0.0,0,100,0,0,0.015227262973785356,100
R,65,0.01,0,99,1,0,0.017881002426147413,100
R,75,0.02,0,98,2,0,0.016143722534179644,100
R,85,0.07,0,93,7,0,0.015537049770355171,100
R,95,0.3,0,70,30,0,0.014422304630279492,100
R,100,0.42,0,58,42,0,0.014498167037963822,100
G,0,1.0,0,0,0,100,0.025758135318756058,100
G,15,0.0,0,100,0,0,0.014411311149597119,100
G,25,0.0,0,100,0,0,0.01690651178359981,100
G,35,0.0,0,100,0,0,0.01615861654281612,100
G,45,0.0,0,100,0,0,0.015317966938018755,100
G,55,0.0,0,100,0,0,0.015265552997589062,100
G,65,0.0,0,100,0,0,0.014463620185852004,100
G,75,0.03,0,97,3,0,0.01606465578079219,100
G,85,0.08,0,92,8,0,0.015495212078094433,100
G,95,0.29,0,71,29,0,0.019563417434692344,100
G,100,0.52,0,48,52,0,0.014893901348113964,100
B,0,1.0,0,0,0,100,0.018255679607391315,100
B,15,0.0,0,100,0,0,0.017476272583007768,100
B,25,0.0,0,100,0,0,0.015349650382995565,100
B,35,0.0,0,100,0,0,0.015692331790924028,100
B,45,0.0,0,100,0,0,0.015420496463775584,100
B,55,0.0,0,100,0,0,0.01559959888458247,100
B,65,0.01,0,99,1,0,0.01577103614807125,100
B,75,0.04,0,96,4,0,0.016106984615325882,100
B,85,0.05,0,95,5,0,0.01612352371215816,100
B,95,0.29,0,71,29,0,0.026856124401092484,100
B,100,0.55,0,45,55,0,0.01593164443969722,100
RGB,0,1.0,0,0,0,100,0.01860798358917232,100
RGB,15,0.0,0,100,0,0,0.020978682041168165,100
RGB,25,0.0,0,100,0,0,0.01968824386596675,100
RGB,35,0.0,0,100,0,0,0.019207413196563675,100
RGB,45,0.0,0,100,0,0,0.02095602750778193,100
RGB,55,0.0,0,100,0,0,0.017650289535522418,100
RGB,65,0.0,0,100,0,0,0.02178039312362667,100
RGB,75,0.0,0,100,0,0,0.01880158662796016,100
RGB,85,0.01,0,99,1,0,0.03324418067932124,100
RGB,95,0.3,0,70,30,0,0.018432092666625936,100
RGB,100,0.43,0,57,43,0,0.024248139858245813,100
