channel,rate,accuracy,false_positives,false_negatives,true_positives,true_negatives,total_images
R,0,1.0,0,0,0,100,100
R,15,0.0,0,100,0,0,100
R,25,0.0,0,100,0,0,100
R,35,0.0,0,100,0,0,100
R,45,0.0,0,100,0,0,100
R,55,0.0,0,100,0,0,100
R,65,0.01,0,99,1,0,100
R,75,0.02,0,98,2,0,100
R,85,0.07,0,93,7,0,100
R,95,0.3,0,70,30,0,100
R,100,0.42,0,58,42,0,100
G,0,1.0,0,0,0,100,100
G,15,0.0,0,100,0,0,100
G,25,0.0,0,100,0,0,100
G,35,0.0,0,100,0,0,100
G,45,0.0,0,100,0,0,100
G,55,0.0,0,100,0,0,100
G,65,0.0,0,100,0,0,100
G,75,0.03,0,97,3,0,100
G,85,0.08,0,92,8,0,100
G,95,0.29,0,71,29,0,100
G,100,0.52,0,48,52,0,100
B,0,1.0,0,0,0,100,100
B,15,0.0,0,100,0,0,100
B,25,0.0,0,100,0,0,100
B,35,0.0,0,100,0,0,100
B,45,0.0,0,100,0,0,100
B,55,0.0,0,100,0,0,100
B,65,0.01,0,99,1,0,100
B,75,0.04,0,96,4,0,100
B,85,0.05,0,95,5,0,100
B,95,0.29,0,71,29,0,100
B,100,0.55,0,45,55,0,100
RGB,0,1.0,0,0,0,100,100
RGB,15,0.0,0,100,0,0,100
RGB,25,0.0,0,100,0,0,100
RGB,35,0.0,0,100,0,0,100
RGB,45,0.0,0,100,0,0,100
RGB,55,0.0,0,100,0,0,100
RGB,65,0.0,0,100,0,0,100
RGB,75,0.0,0,100,0,0,100
RGB,85,0.01,0,99,1,0,100
RGB,95,0.3,0,70,30,0,100
RGB,100,0.43,0,57,43,0,100
